_genre,type,release_year,total_media,imdb_vote
thriller,SHOW,2022,20,172808
documentation,SHOW,2018,49,170884
documentation,SHOW,2021,65,170213
european,MOVIE,2014,10,170100
fantasy,SHOW,2012,5,169997
family,MOVIE,1993,3,169151
action,MOVIE,2001,5,168422
war,SHOW,2016,7,166784
crime,SHOW,2011,5,164276
horror,SHOW,2017,13,164031
crime,MOVIE,1993,5,163963
war,MOVIE,2020,10,163132
drama,MOVIE,1995,7,161827
animation,SHOW,2017,31,161138
family,MOVIE,2004,4,158792
european,SHOW,2018,5,158720
fantasy,MOVIE,2013,8,157699
sport,MOVIE,2005,2,156704
thriller,MOVIE,2000,2,155531
documentation,MOVIE,2016,36,154128
action,MOVIE,1971,1,153463
crime,MOVIE,1971,1,153463
thriller,MOVIE,1971,1,153463
thriller,SHOW,2003,4,153247
war,SHOW,2018,9,152899
drama,MOVIE,1990,5,152372
action,SHOW,2003,3,150735
european,SHOW,2006,2,148321
history,SHOW,2015,7,146479
western,MOVIE,2018,4,145921
drama,SHOW,2003,3,145665
horror,MOVIE,2007,2,144850
european,MOVIE,1998,3,144368
history,MOVIE,1997,2,144133
comedy,SHOW,1998,5,143688
drama,SHOW,1998,4,141985
scifi,SHOW,1998,4,141985
drama,SHOW,2000,4,141685
history,MOVIE,2021,17,141500
war,MOVIE,1997,1,141308
crime,SHOW,2003,1,141049
music,MOVIE,2019,31,139721
fantasy,SHOW,2017,27,139692
fantasy,SHOW,2011,7,139395
comedy,SHOW,2000,3,139359
animation,SHOW,2011,13,138890
family,MOVIE,2015,10,138846
action,SHOW,1998,3,138711
animation,SHOW,1998,3,138711
family,SHOW,2012,8,137669
european,MOVIE,1990,1,137549
documentation,SHOW,2015,11,136786
comedy,MOVIE,1991,6,135766
family,MOVIE,1991,2,135299
war,MOVIE,2018,5,135289
romance,SHOW,2021,37,134698
documentation,MOVIE,2013,19,132030
horror,MOVIE,2000,1,130099
scifi,MOVIE,2000,1,130099
animation,MOVIE,1993,1,128179
scifi,MOVIE,2001,2,127295
fantasy,MOVIE,2001,4,126969
family,SHOW,2017,23,125460
documentation,SHOW,2017,37,124696
action,SHOW,2011,8,122450
fantasy,MOVIE,1997,2,119699
comedy,SHOW,1999,3,119117
sport,MOVIE,1999,1,118479
sport,MOVIE,2021,19,118475
history,MOVIE,2010,2,117119
romance,MOVIE,1995,6,116862
action,SHOW,1999,2,116771
animation,SHOW,1999,2,116771
thriller,SHOW,1998,1,112887
western,SHOW,1998,1,112887
drama,SHOW,1999,1,112586
fantasy,SHOW,1999,1,112586
history,MOVIE,2015,5,112553
action,MOVIE,1967,1,111189
crime,MOVIE,1967,1,111189
drama,MOVIE,1967,1,111189
sport,MOVIE,2001,1,111053
scifi,SHOW,2008,5,108319
comedy,SHOW,2002,5,107704
history,SHOW,2014,3,107071
sport,MOVIE,2010,1,103673
animation,MOVIE,2015,7,103323
western,MOVIE,2019,2,103091
fantasy,MOVIE,1989,1,102212
horror,MOVIE,1989,1,102212
thriller,MOVIE,1989,1,102212
war,MOVIE,2015,4,101846
romance,MOVIE,2022,27,101682
action,MOVIE,1990,2,101549
scifi,SHOW,2022,16,101495
family,SHOW,2011,7,101415
european,SHOW,2008,3,101291
crime,SHOW,2022,24,99574
history,MOVIE,2016,8,99348
comedy,MOVIE,1990,3,98273
family,MOVIE,1994,3,96967
family,MOVIE,2008,2,95628
music,MOVIE,2021,23,95230
drama,MOVIE,1964,1,94121
family,MOVIE,1964,1,94121
music,MOVIE,1964,1,94121
romance,MOVIE,1964,1,94121
action,SHOW,2002,1,93980
animation,SHOW,2002,1,93980
fantasy,SHOW,2002,1,93980
scifi,SHOW,2002,1,93980
thriller,SHOW,2002,1,93980
action,SHOW,2022,17,93953
family,MOVIE,1990,1,92647
scifi,MOVIE,1990,1,92647
action,SHOW,2008,8,91689
animation,SHOW,2016,27,90770
action,SHOW,1997,2,90368
scifi,SHOW,1997,2,90368
drama,SHOW,1997,1,90196
european,MOVIE,2004,1,89085
fantasy,SHOW,2008,4,88635
documentation,SHOW,2011,2,87885
horror,SHOW,2022,4,87485
action,SHOW,1993,3,86902
scifi,SHOW,1993,3,86902
horror,MOVIE,2001,2,86492
documentation,MOVIE,2014,22,84917
comedy,SHOW,2022,31,82752
war,MOVIE,2010,1,82623
comedy,SHOW,2001,4,82443
documentation,MOVIE,2022,19,82111
family,MOVIE,2003,2,82054
drama,MOVIE,1991,6,81018
european,MOVIE,1983,1,80945
horror,MOVIE,1983,1,80945
thriller,MOVIE,1983,1,80945
reality,SHOW,2020,43,80908
european,MOVIE,1991,2,80165
romance,MOVIE,1991,1,79800
animation,MOVIE,2020,47,79798
family,SHOW,2021,31,79566
romance,SHOW,2022,16,79522
western,SHOW,2012,2,78089
fantasy,SHOW,1995,2,78088
scifi,SHOW,1995,2,78088
thriller,SHOW,1995,2,78088
animation,MOVIE,2018,23,74807
history,SHOW,2021,17,73894
horror,MOVIE,2022,5,73335
comedy,SHOW,1969,1,72895
european,SHOW,1969,1,72895
comedy,SHOW,2010,10,72795
documentation,SHOW,2014,4,72020
scifi,MOVIE,1995,1,71062
history,MOVIE,2014,2,70757
reality,SHOW,2019,37,70326
animation,MOVIE,2007,3,69689
drama,MOVIE,1980,2,69078
romance,MOVIE,1980,2,69078
horror,SHOW,2014,3,68260
family,SHOW,2019,33,67453
comedy,SHOW,2007,7,66966
drama,SHOW,2004,2,66502
family,SHOW,2016,23,65647
family,SHOW,2007,5,65292
drama,MOVIE,1992,2,65285
reality,SHOW,2018,31,64816
action,SHOW,1995,1,64727
animation,SHOW,1995,1,64727
drama,SHOW,1995,1,64727
crime,MOVIE,1999,2,64669
european,MOVIE,1997,1,64625
romance,MOVIE,2002,3,64241
sport,MOVIE,2000,1,64087
scifi,MOVIE,2007,2,64062
western,MOVIE,2014,1,63007
action,SHOW,2006,1,62367
war,SHOW,2006,1,62367
music,SHOW,2003,1,62140
music,MOVIE,2017,11,61398
drama,SHOW,1993,1,61145
comedy,MOVIE,1982,3,60206
western,SHOW,2016,2,60146
music,MOVIE,2015,8,59215
action,MOVIE,1991,4,58941
thriller,MOVIE,1999,1,58726
scifi,MOVIE,1991,2,58677
war,SHOW,2014,2,58078
war,SHOW,2020,5,57767
reality,SHOW,2017,11,57754
history,SHOW,2017,8,57612
animation,MOVIE,2002,2,55873
animation,MOVIE,2012,10,55528
fantasy,SHOW,2022,17,55459
war,MOVIE,2013,3,54047
animation,MOVIE,2017,20,53873
family,MOVIE,2002,1,53746
family,SHOW,2010,7,53611
sport,SHOW,2019,12,52134
animation,MOVIE,1997,1,51938
thriller,SHOW,2004,2,51671
animation,SHOW,2020,33,50985
history,SHOW,2011,2,50698
romance,SHOW,2012,3,50585
action,MOVIE,1961,1,50150
drama,MOVIE,1961,1,50150
war,MOVIE,1961,1,50150
drama,MOVIE,1982,6,48941
thriller,SHOW,2012,2,48650
sport,SHOW,2017,3,46135
european,SHOW,2012,6,45679
music,SHOW,2010,3,45262
family,SHOW,2020,23,45232
animation,SHOW,2010,10,45155
reality,MOVIE,2021,3,45071
scifi,SHOW,2004,1,44971
family,MOVIE,1982,1,44866
history,MOVIE,2022,2,44838
drama,SHOW,2007,5,44200
horror,MOVIE,2005,2,43754
romance,MOVIE,1954,2,43592
comedy,MOVIE,1954,1,42373
music,MOVIE,1954,1,42373
sport,MOVIE,2020,11,42309
sport,SHOW,2021,8,42090
sport,MOVIE,2019,17,42055
crime,SHOW,2001,1,41791
sport,MOVIE,2012,2,41299
history,SHOW,2022,5,40228
action,MOVIE,1994,3,39488
sport,MOVIE,1994,2,39346
romance,SHOW,2007,2,38328
animation,MOVIE,2001,2,38281
comedy,MOVIE,1997,3,38164
animation,SHOW,2001,1,38046
family,SHOW,2001,1,38046
fantasy,SHOW,2001,1,38046
scifi,SHOW,2001,1,38046
comedy,SHOW,2008,7,37940
family,SHOW,1989,2,37720
family,SHOW,2015,21,37601
family,MOVIE,2001,1,35711
family,MOVIE,2012,4,35611
fantasy,SHOW,2010,4,35530
documentation,SHOW,2016,15,35273
romance,SHOW,1989,1,34854
action,SHOW,1982,1,33760
crime,SHOW,1982,1,33760
drama,SHOW,1982,1,33760
scifi,SHOW,1982,1,33760
romance,SHOW,2015,6,33327
scifi,MOVIE,1993,1,33128
family,SHOW,2013,13,31853
war,SHOW,2022,1,31330
history,MOVIE,2013,3,31080
documentation,SHOW,2022,19,30923
action,MOVIE,1979,2,30832
family,MOVIE,1979,2,30832
fantasy,MOVIE,1979,2,30832
war,SHOW,2019,8,30564
history,SHOW,2012,2,30485
animation,MOVIE,1979,1,30277
history,SHOW,2018,11,29736
crime,MOVIE,2000,2,29600
music,MOVIE,2014,3,29538
animation,SHOW,2007,6,29273
sport,MOVIE,2018,14,28860
music,SHOW,2016,3,28286
action,SHOW,2007,3,28267
drama,MOVIE,1996,5,28234
family,MOVIE,2022,8,28087
european,SHOW,2014,5,27693
horror,SHOW,2008,3,26712
reality,SHOW,2021,44,26581
music,MOVIE,2008,3,26457
family,SHOW,1998,2,25824
fantasy,SHOW,1998,2,25824
family,SHOW,1993,2,25757
fantasy,SHOW,1993,2,25757
war,SHOW,2021,7,25709
music,MOVIE,2012,3,25528
european,MOVIE,2000,1,25432
comedy,SHOW,1994,3,25349
romance,MOVIE,1996,3,24988
reality,SHOW,2000,1,24368
sport,SHOW,2010,1,24224
documentation,MOVIE,2007,4,24199
reality,MOVIE,2020,1,23979
animation,SHOW,2008,7,23692
war,MOVIE,2004,1,23076
family,SHOW,1994,2,22243
music,SHOW,2020,12,21837
crime,SHOW,2004,1,21531
documentation,SHOW,2004,1,21531
music,SHOW,2018,14,21449
animation,MOVIE,2022,7,21057
history,MOVIE,2004,1,20611
comedy,MOVIE,1987,3,20365
reality,SHOW,2003,2,20355
documentation,MOVIE,1987,2,20297
music,MOVIE,2022,4,20175
romance,SHOW,2013,6,20144
family,SHOW,2009,5,19964
romance,SHOW,2008,3,19940
sport,MOVIE,2022,3,19537
romance,MOVIE,1999,4,19084
war,MOVIE,2022,2,19073
scifi,SHOW,2007,3,18607
music,MOVIE,1994,1,18224
horror,SHOW,2011,3,17690
music,SHOW,2019,8,17111
history,MOVIE,2002,1,16225
action,MOVIE,1966,1,16168
european,MOVIE,1966,1,16168
western,MOVIE,1966,1,16168
action,SHOW,2000,1,15823
animation,SHOW,2000,1,15823
fantasy,SHOW,2000,1,15823
romance,SHOW,2000,1,15823
scifi,SHOW,2000,1,15823
family,SHOW,2006,2,15694
drama,SHOW,1994,2,15641
fantasy,MOVIE,2022,3,15439
documentation,MOVIE,1982,1,15186
sport,MOVIE,2014,2,14609
war,MOVIE,2021,2,14435
