_genre,type,release_year,age_certification,total_media,imdb_vote
crime,MOVIE,2012,PG-13,2,274294
romance,SHOW,2017,TV-MA,10,273073
family,MOVIE,2007,PG-13,2,273059
crime,SHOW,2015,TV-14,8,272969
comedy,SHOW,2019,TV-14,15,272473
romance,MOVIE,2005,PG,2,271336
crime,MOVIE,2019,,32,270238
history,MOVIE,2000,R,1,270231
war,MOVIE,2000,R,1,270231
drama,SHOW,2022,TV-MA,32,270026
fantasy,MOVIE,2012,PG-13,2,270000
comedy,MOVIE,2006,PG-13,5,268482
action,MOVIE,1998,R,1,267181
scifi,MOVIE,1998,R,1,267181
thriller,MOVIE,2013,PG-13,3,267007
european,MOVIE,2007,PG-13,2,266274
action,MOVIE,2017,,30,266107
action,MOVIE,2010,,3,265639
crime,MOVIE,2010,,3,265639
animation,MOVIE,2005,PG,1,265023
comedy,MOVIE,2004,PG-13,5,263412
crime,MOVIE,2002,R,1,263212
drama,MOVIE,2002,R,1,263212
horror,MOVIE,2012,PG-13,1,262998
comedy,MOVIE,2001,PG-13,1,260975
european,MOVIE,2001,PG-13,1,260975
fantasy,MOVIE,2020,R,5,258967
horror,MOVIE,2003,R,2,258727
crime,MOVIE,2021,PG-13,3,258568
crime,MOVIE,2008,PG-13,4,258531
comedy,MOVIE,2009,PG,6,257995
comedy,MOVIE,2007,PG,5,257087
action,SHOW,2018,TV-14,13,256878
european,SHOW,2016,TV-MA,6,256131
history,SHOW,2019,TV-MA,11,255261
romance,SHOW,2011,TV-14,5,254269
romance,MOVIE,2010,PG,5,253030
comedy,SHOW,2009,TV-PG,1,252564
family,MOVIE,2007,PG,2,252296
action,MOVIE,2014,R,3,250639
crime,SHOW,2017,TV-14,10,250596
comedy,MOVIE,2013,R,4,250595
drama,SHOW,2020,TV-14,26,250093
action,MOVIE,2020,,44,248756
european,MOVIE,2010,PG-13,1,247229
documentation,MOVIE,2012,PG-13,1,246008
action,SHOW,2015,TV-MA,6,245442
romance,MOVIE,2009,PG,4,245436
comedy,MOVIE,2011,R,3,244770
drama,MOVIE,2009,PG,5,243615
western,MOVIE,2016,R,2,243352
crime,MOVIE,2020,,35,243202
scifi,SHOW,2019,TV-14,10,241631
western,MOVIE,2017,R,2,241616
scifi,SHOW,2015,TV-MA,4,240468
comedy,MOVIE,1996,PG-13,3,239891
action,SHOW,2019,TV-14,11,239865
crime,MOVIE,2007,R,4,239008
comedy,SHOW,2018,TV-MA,30,238752
crime,SHOW,2013,TV-14,1,238138
thriller,SHOW,2013,TV-14,1,238138
drama,MOVIE,2022,,35,237487
fantasy,SHOW,2019,TV-14,14,236593
romance,MOVIE,2021,,63,236481
european,MOVIE,2008,R,2,236384
war,MOVIE,2008,R,2,236384
drama,MOVIE,2004,R,2,236289
romance,MOVIE,2016,PG-13,6,235210
comedy,SHOW,2016,TV-14,13,233341
fantasy,SHOW,2018,TV-14,12,232006
comedy,SHOW,2011,TV-MA,2,230920
horror,MOVIE,1984,R,1,230543
action,MOVIE,1993,R,2,230118
family,MOVIE,2021,PG,13,229152
documentation,MOVIE,2019,,63,228814
fantasy,MOVIE,2017,,19,227449
drama,MOVIE,2006,PG-13,4,227439
animation,MOVIE,2009,PG,1,226225
family,MOVIE,2009,PG,1,226225
fantasy,MOVIE,2009,PG,1,226225
scifi,MOVIE,2009,PG,1,226225
action,MOVIE,2020,PG-13,6,226028
european,MOVIE,2018,,57,224436
action,MOVIE,2018,,29,223459
crime,MOVIE,2013,R,4,222819
thriller,SHOW,2017,TV-14,8,221897
fantasy,MOVIE,2008,R,1,221095
history,MOVIE,2008,R,1,221095
horror,MOVIE,2020,R,7,220490
history,MOVIE,2020,R,4,219430
horror,MOVIE,2010,R,2,219400
sport,MOVIE,1996,PG-13,1,217534
comedy,MOVIE,1998,PG,2,216815
fantasy,MOVIE,2021,,23,216488
western,MOVIE,2021,R,2,216036
horror,MOVIE,2011,PG-13,4,216036
romance,MOVIE,2004,R,1,215678
european,MOVIE,2017,,45,215075
fantasy,MOVIE,2002,R,1,214461
horror,MOVIE,2002,R,1,214461
scifi,MOVIE,2002,R,1,214461
romance,MOVIE,1998,PG-13,3,213890
history,SHOW,2016,TV-MA,4,213703
crime,MOVIE,2020,PG-13,4,213691
horror,MOVIE,2019,PG-13,5,213615
thriller,MOVIE,1998,R,3,213462
romance,MOVIE,2019,,56,212928
drama,SHOW,2010,TV-14,5,212915
comedy,MOVIE,1989,R,1,212913
drama,MOVIE,1989,R,1,212913
romance,MOVIE,1989,R,1,212913
comedy,MOVIE,2015,R,11,212427
scifi,MOVIE,2019,PG-13,7,212361
horror,MOVIE,2006,R,2,212163
action,SHOW,2015,TV-14,5,211357
fantasy,MOVIE,2016,PG-13,7,210444
horror,MOVIE,2009,R,2,210104
drama,MOVIE,1998,PG,1,209258
romance,MOVIE,1998,PG,1,209258
comedy,MOVIE,2021,PG,11,208977
war,MOVIE,2016,R,1,208185
thriller,MOVIE,2018,PG-13,5,206892
comedy,MOVIE,2019,PG,10,206078
comedy,SHOW,2003,TV-14,4,205740
history,MOVIE,2006,PG-13,2,201221
action,MOVIE,2005,R,2,199289
crime,MOVIE,2005,R,2,199289
drama,MOVIE,2005,R,2,199289
thriller,MOVIE,2005,R,2,199289
drama,MOVIE,2011,PG,7,197835
european,SHOW,2010,TV-14,1,197744
romance,SHOW,2010,TV-14,1,197744
horror,MOVIE,2020,,21,197422
scifi,SHOW,2016,TV-MA,6,197282
family,MOVIE,2017,PG-13,3,196504
action,MOVIE,2019,,36,196410
animation,SHOW,2021,TV-14,7,196331
action,MOVIE,2004,R,2,195821
romance,MOVIE,2011,R,2,194339
action,MOVIE,2018,PG-13,9,194091
comedy,MOVIE,2004,PG,4,193934
romance,SHOW,2016,TV-14,11,193675
family,MOVIE,2016,PG-13,5,193469
drama,MOVIE,2022,PG-13,7,193112
comedy,MOVIE,2004,R,1,193053
romance,MOVIE,2007,PG,4,193025
scifi,MOVIE,1998,PG-13,1,191722
sport,SHOW,2006,TV-14,3,190380
crime,SHOW,2005,TV-14,1,189191
crime,MOVIE,2022,,12,188346
thriller,SHOW,2015,TV-14,6,187904
action,SHOW,2016,TV-14,6,187791
family,MOVIE,2016,PG,9,187559
crime,MOVIE,2010,R,2,186865
comedy,MOVIE,2016,PG,7,186433
comedy,MOVIE,1998,PG-13,2,185481
european,MOVIE,2008,PG-13,1,185430
european,SHOW,2015,TV-MA,7,185054
horror,SHOW,2020,TV-MA,12,183777
fantasy,MOVIE,2011,R,2,183746
crime,MOVIE,1995,R,1,183638
european,MOVIE,1995,R,1,183638
music,MOVIE,2006,PG,1,182612
western,MOVIE,1998,PG-13,1,181306
european,MOVIE,1999,R,1,180532
fantasy,SHOW,2013,TV-14,3,180477
history,SHOW,2020,TV-MA,5,180273
sport,MOVIE,2016,PG,1,180247
sport,MOVIE,2017,R,2,179293
war,SHOW,2015,TV-MA,6,178761
sport,SHOW,2018,TV-14,3,175738
animation,MOVIE,2013,PG,4,175660
family,MOVIE,2013,PG,4,175660
fantasy,MOVIE,2004,R,1,175210
horror,MOVIE,2004,R,1,175210
scifi,MOVIE,2004,R,1,175210
thriller,MOVIE,2004,R,1,175210
animation,MOVIE,2016,PG,4,174627
thriller,MOVIE,2020,PG-13,4,174361
comedy,MOVIE,2016,,62,174011
comedy,MOVIE,2013,PG-13,8,173980
family,MOVIE,2019,PG,7,173587
horror,SHOW,2021,TV-MA,7,173201
thriller,SHOW,2022,TV-MA,17,172266
music,MOVIE,2013,R,2,171482
romance,MOVIE,2008,PG-13,4,171294
action,MOVIE,1997,PG-13,2,171220
horror,MOVIE,1997,PG-13,2,171220
comedy,MOVIE,2013,PG,4,171144
comedy,MOVIE,2015,PG-13,12,170291
family,MOVIE,1993,PG,3,169151
animation,MOVIE,2021,PG,7,169117
drama,MOVIE,2006,PG,2,167840
comedy,MOVIE,2000,R,1,167670
fantasy,MOVIE,2016,PG,4,165952
crime,SHOW,2016,TV-MA,14,165846
history,MOVIE,2019,,18,164832
war,MOVIE,2019,R,2,164220
fantasy,MOVIE,2015,R,2,163835
action,MOVIE,2022,PG-13,3,163657
documentation,MOVIE,2020,,52,163056
comedy,SHOW,2014,TV-MA,2,162843
crime,MOVIE,2006,R,3,162585
comedy,SHOW,2016,TV-MA,16,162500
scifi,MOVIE,2022,PG-13,3,162064
animation,MOVIE,2016,PG-13,2,161746
european,MOVIE,2016,,33,161647
comedy,MOVIE,2022,PG-13,2,161535
drama,MOVIE,1993,R,3,160902
european,MOVIE,2020,,17,160220
romance,MOVIE,2017,R,3,159670
documentation,SHOW,2019,TV-MA,23,159554
crime,MOVIE,1993,R,2,159338
action,MOVIE,2011,PG,3,158867
family,MOVIE,2004,PG,3,158792
romance,SHOW,2014,TV-MA,3,158785
thriller,SHOW,2016,TV-MA,11,158609
european,SHOW,2018,TV-MA,4,158169
comedy,MOVIE,2002,R,3,157769
scifi,MOVIE,2014,PG,2,157498
scifi,MOVIE,2018,PG-13,4,156708
thriller,SHOW,2018,TV-14,7,156608
horror,MOVIE,2019,R,7,156529
romance,SHOW,2017,TV-14,9,156340
horror,SHOW,2017,TV-MA,8,155654
thriller,MOVIE,2000,R,2,155531
scifi,MOVIE,2017,PG-13,6,155513
crime,MOVIE,2006,PG-13,3,154989
drama,MOVIE,2013,,22,154547
action,MOVIE,2019,PG-13,3,153668
family,MOVIE,2018,PG,13,153516
action,MOVIE,1971,R,1,153463
crime,MOVIE,1971,R,1,153463
thriller,MOVIE,1971,R,1,153463
documentation,MOVIE,2015,R,2,153214
fantasy,SHOW,2014,TV-MA,1,152435
scifi,SHOW,2014,TV-MA,1,152435
music,MOVIE,2018,R,4,150251
animation,MOVIE,2019,PG,5,150141
comedy,MOVIE,2003,PG,2,149999
action,MOVIE,2006,R,2,149754
scifi,MOVIE,2017,,10,149621
comedy,SHOW,2015,TV-PG,3,149565
drama,MOVIE,2015,,34,149510
comedy,MOVIE,1993,PG-13,2,149456
